"Date", "Level"
"11/04/2020","NOT IN SEASON"
"11/05/2020","NOT IN SEASON"
"11/06/2020","NOT IN SEASON"
"11/07/2020","NOT IN SEASON"
"11/08/2020","NOT IN SEASON"
"11/09/2020","NOT IN SEASON"
"11/10/2020","NOT IN SEASON"
"11/11/2020","NOT IN SEASON"
"11/12/2020","NOT IN SEASON"
"11/13/2020","NOT IN SEASON"
"11/14/2020",""
"11/15/2020",""
"11/16/2020","NOT IN SEASON"
"11/17/2020","NOT IN SEASON"
"11/18/2020","NOT IN SEASON"
"11/19/2020","NOT IN SEASON"
"11/20/2020","NOT IN SEASON"
"11/21/2020","NOT IN SEASON"
"11/22/2020",""
"11/23/2020","NOT IN SEASON"
"11/24/2020","NOT IN SEASON"
"11/25/2020",""
"11/26/2020","NOT IN SEASON"
"11/27/2020","NOT IN SEASON"
"11/28/2020","NOT IN SEASON"
"11/29/2020","NOT IN SEASON"
"11/30/2020","NOT IN SEASON"
"12/01/2020","NOT IN SEASON"
"12/02/2020","NOT IN SEASON"
"12/03/2020","NOT IN SEASON"
"12/04/2020","NOT IN SEASON"
"12/05/2020","NOT IN SEASON"
"12/06/2020","NOT IN SEASON"
"12/07/2020","NOT IN SEASON"
"12/08/2020","NOT IN SEASON"
"12/09/2020","NOT IN SEASON"
"12/10/2020","NOT IN SEASON"
"12/11/2020",""
"12/12/2020",""
"12/13/2020","NOT IN SEASON"
"12/14/2020","NOT IN SEASON"
"12/15/2020","NOT IN SEASON"
"12/16/2020","NOT IN SEASON"
"12/17/2020","NOT IN SEASON"
"12/18/2020","NOT IN SEASON"
"12/19/2020","NOT IN SEASON"
"12/20/2020","NOT IN SEASON"
"12/21/2020","NOT IN SEASON"
"12/22/2020","NOT IN SEASON"
"12/23/2020",""
"12/24/2020","NOT IN SEASON"
"12/25/2020",""
"12/26/2020","NOT IN SEASON"
"12/27/2020","NOT IN SEASON"
"12/28/2020","NOT IN SEASON"
"12/29/2020","NOT IN SEASON"
"12/30/2020","NOT IN SEASON"
"12/31/2020","NOT IN SEASON"
"01/01/2021","NOT IN SEASON"
"01/04/2021","NOT IN SEASON"
"01/05/2021","NOT IN SEASON"
"01/07/2021",""
"01/08/2021","NOT IN SEASON"
"01/09/2021",""
"01/10/2021","NOT IN SEASON"
"01/11/2021","NOT IN SEASON"
"01/12/2021","NOT IN SEASON"
"01/13/2021","NOT IN SEASON"
"01/14/2021",""
"01/15/2021",""
"01/16/2021",""
"01/17/2021","NOT IN SEASON"
"01/18/2021","NOT IN SEASON"
"01/19/2021","NOT IN SEASON"
"01/20/2021","NOT IN SEASON"
"01/21/2021","NOT IN SEASON"
"01/22/2021","NOT IN SEASON"
"01/23/2021","NOT IN SEASON"
"01/24/2021","NOT IN SEASON"
"01/25/2021","NOT IN SEASON"
"01/26/2021","NOT IN SEASON"
"01/27/2021","NOT IN SEASON"
"01/28/2021","NOT IN SEASON"
"01/29/2021","NOT IN SEASON"
"01/30/2021","NOT IN SEASON"
"01/31/2021","NOT IN SEASON"
"02/01/2021","NOT IN SEASON"
"02/02/2021","NOT IN SEASON"
"02/03/2021","NOT IN SEASON"
"02/04/2021","NOT IN SEASON"
"02/05/2021","NOT IN SEASON"
"02/06/2021","NOT IN SEASON"
"02/07/2021","NOT IN SEASON"
"02/08/2021","NOT IN SEASON"
"02/09/2021","NOT IN SEASON"
"02/10/2021","NOT IN SEASON"
"02/11/2021","NOT IN SEASON"
"02/12/2021","NOT IN SEASON"
"02/13/2021","NOT IN SEASON"
"02/14/2021","NOT IN SEASON"
"02/15/2021","NOT IN SEASON"
"02/16/2021","NOT IN SEASON"
"02/17/2021","NOT IN SEASON"
"02/18/2021","NOT IN SEASON"
"02/19/2021","NOT IN SEASON"
"02/20/2021","NOT IN SEASON"
"02/21/2021","NOT IN SEASON"
"02/22/2021","NOT IN SEASON"
"02/23/2021","NOT IN SEASON"
"02/24/2021","NOT IN SEASON"
"02/25/2021","NOT IN SEASON"
"02/26/2021","NOT IN SEASON"
"02/27/2021","NOT IN SEASON"
"02/28/2021","NOT IN SEASON"
"03/01/2021","DATA IS UNAVAILABLE"
"03/02/2021","DATA IS UNAVAILABLE"
"03/03/2021","DATA IS UNAVAILABLE"
"03/04/2021","DATA IS UNAVAILABLE"
"03/05/2021","DATA IS UNAVAILABLE"
"03/06/2021","DATA IS UNAVAILABLE"
"03/07/2021","DATA IS UNAVAILABLE"
"03/08/2021","DATA IS UNAVAILABLE"
"03/09/2021","DATA IS UNAVAILABLE"
"03/10/2021","DATA IS UNAVAILABLE"
"03/11/2021","DATA IS UNAVAILABLE"
"03/12/2021","DATA IS UNAVAILABLE"
"03/13/2021","DATA IS UNAVAILABLE"
"03/14/2021","DATA IS UNAVAILABLE"
"03/15/2021","DATA IS UNAVAILABLE"
"03/16/2021","LOW"
"03/17/2021","LOW"
"03/18/2021","LOW"
"03/19/2021","LOW"
"03/20/2021","LOW"
"03/21/2021","LOW"
"03/22/2021","MODERATE"
"03/23/2021","MODERATE"
"03/24/2021","MODERATE"
"03/25/2021","MODERATE"
"03/26/2021","MODERATE"
"03/27/2021","MODERATE"
"03/28/2021","HIGH"
"03/29/2021","MODERATE"
"03/30/2021","MODERATE"
"03/31/2021","MODERATE"
"04/01/2021","MODERATE"
"04/02/2021","MODERATE"
"04/03/2021","MODERATE"
"04/04/2021","MODERATE"
"04/05/2021","HIGH"
"04/06/2021","HIGH"
"04/07/2021","HIGH"
"04/08/2021","HIGH"
"04/09/2021","HIGH"
"04/10/2021","HIGH"
"04/11/2021","HIGH"
"04/12/2021","HIGH"
"04/13/2021","VERY HIGH"
"04/14/2021","HIGH"
"04/15/2021","VERY HIGH"
"04/16/2021","MODERATE"
"04/17/2021","HIGH"
"04/18/2021","MODERATE"
"04/19/2021","MODERATE"
"04/20/2021","HIGH"
"04/21/2021","MODERATE"
"04/22/2021","MODERATE"
"04/23/2021","HIGH"
"04/24/2021","HIGH"
"04/25/2021","HIGH"
"04/26/2021","HIGH"
"04/27/2021","HIGH"
"04/28/2021","VERY HIGH"
"04/29/2021","HIGH"
"04/30/2021","MODERATE"
"05/01/2021","HIGH"
"05/02/2021","HIGH"
"05/03/2021","HIGH"
"05/04/2021","MODERATE"
"05/05/2021","MODERATE"
"05/06/2021","VERY HIGH"
"05/07/2021","HIGH"
"05/08/2021","HIGH"
"05/09/2021","HIGH"
"05/10/2021","HIGH"
"05/11/2021","MODERATE"
"05/12/2021","MODERATE"
"05/13/2021","MODERATE"
"05/14/2021","VERY HIGH"
"05/15/2021","VERY HIGH"
"05/17/2021","HIGH"
"05/18/2021","VERY HIGH"
"05/19/2021","HIGH"
"05/20/2021","VERY HIGH"
"05/21/2021","HIGH"
"05/22/2021","VERY HIGH"
"05/23/2021","VERY HIGH"
"05/24/2021","VERY HIGH"
"05/25/2021","HIGH"
"05/26/2021","VERY HIGH"
"05/27/2021","HIGH"
"05/28/2021","HIGH"
"05/29/2021",""
"05/30/2021","VERY HIGH"
"05/31/2021","HIGH"
"06/01/2021","HIGH"
"06/02/2021","HIGH"
"06/03/2021","HIGH"
"06/04/2021",""
"06/05/2021","HIGH"
"06/06/2021","MODERATE"
"06/07/2021","HIGH"
"06/08/2021","VERY HIGH"
"06/09/2021","HIGH"
"06/10/2021","HIGH"
"06/11/2021","HIGH"
"06/12/2021","HIGH"
"06/13/2021","MODERATE"
"06/14/2021","MODERATE"
"06/15/2021","MODERATE"
"06/16/2021","MODERATE"
"06/17/2021","MODERATE"
"06/18/2021","HIGH"
"06/19/2021","HIGH"
"06/20/2021","MODERATE"
"06/21/2021","MODERATE"
"06/22/2021","MODERATE"
"06/23/2021","MODERATE"
"06/24/2021","MODERATE"
"06/25/2021","MODERATE"
"06/26/2021",""
"06/27/2021",""
"06/28/2021","LOW"
"06/29/2021","MODERATE"
"06/30/2021","LOW"
"07/01/2021","MODERATE"
"07/02/2021","LOW"
"07/03/2021","MODERATE"
"07/04/2021","MODERATE"
"07/05/2021","LOW"
"07/06/2021","LOW"
"07/07/2021","MODERATE"
"07/08/2021","LOW"
"07/09/2021","MODERATE"
"07/10/2021","MODERATE"
